Link,Description
https://dte.rajasthan.gov.in/assets/docs/Tender/MT.pdf,GEM/2024/B/4682639
https://dte.rajasthan.gov.in/assets/docs/Tender/CHEMICAL.pdf,GEM/2023/B/4321235
https://dte.rajasthan.gov.in/assets/docs/Tender/MECHANICAL.pdf,GEM/2023/B/4321215
https://dte.rajasthan.gov.in/assets/docs/Tender/GeM-Bidding-5424894.pdf,GEM/2023/B/4052555
https://dte.rajasthan.gov.in/assets/docs/Tender/GeM-Bidding-5426025.pdf,GEM/2023/B/4053594
https://dte.rajasthan.gov.in/assets/docs/Tender/GeM-Bidding-5426056.pdf,GEM/2023/B/4053624
https://dte.rajasthan.gov.in/assets/docs/Tender/GeM-Bidding-5426086.pdf,GEM/2023/B/4053651
https://dte.rajasthan.gov.in/assets/docs/Tender/Chemical.pdf,GEM/2023/B/4015201
https://dte.rajasthan.gov.in/assets/docs/Tender/Electrical.pdf,GEM/2023/B/4000562
https://dte.rajasthan.gov.in/assets/docs/Tender/Electronics.pdf,GEM/2023/B/3994603
https://dte.rajasthan.gov.in/assets/docs/Tender/Civil.pdf,GEM/2023/B/4002140
https://dte.rajasthan.gov.in/assets/docs/Tender/Computers.pdf,GEM/2023/B/4009033
https://dte.rajasthan.gov.in/assets/docs/Tender/Mechanical.pdf,GEM/2023/B/4000613
https://dte.rajasthan.gov.in/assets/docs/Tender/ICT%20Lab.pdf,GEM/2023/B/4008318
https://dte.rajasthan.gov.in/assets/docs/Tender/Store.pdf,NIT no. 2023_24/01
https://dte.rajasthan.gov.in/assets/docs/Std_Crnr/College Transfer.pdf,Student College Transfer Order
https://dte.rajasthan.gov.in/assets/docs/Std_Crnr/Branch Change 2024-25.pdf,Branch Change Order
https://dte.rajasthan.gov.in/assets/docs/Std_Crnr/Reservation%20of%20Women.pdf,Amendment in Reservation of Women Admission
https://dte.rajasthan.gov.in/assets/docs/Std_Crnr/CamScanner%2008-03-2023%2015.06.pdf,Fee Related Office Order No.215
https://dte.rajasthan.gov.in/assets/docs/Std_Crnr/Fee%20Order%202023.pdf,Fee Related Office Order No. 158
https://dte.rajasthan.gov.in/assets/docs/Std_Crnr/New Fees Structure.pdf,Proposal for New Fees Structure - Last Date 15-05-2023
https://dte.rajasthan.gov.in/assets/docs/Std_Crnr/Gandhi%20Ji.pdf,Mahatma Gandhi Jayanti (2022-2023)
https://dte.rajasthan.gov.in/assets/docs/Std_Crnr/Feerelated.pdf,Extension of date  for submitting document to  fee committee
https://dte.rajasthan.gov.in/assets/docs/Office_Order/Fee_Structure_Two.pdf,Fee Related Office Order No. 3626
https://dte.rajasthan.gov.in/assets/docs/Office_Order/Fee_Structure_One.pdf,Fee Related Office Order No. 3625
https://dte.rajasthan.gov.in/assets/docs/Std_crnr/Stu_25.pdf,Students Transfer Policy
https://dte.rajasthan.gov.in/assets/docs/Std_crnr/Equilancy.pdf,Circular for 12th Equivalency after Diploma
https://dte.rajasthan.gov.in/assets/docs/Std_crnr/student_attendance.pdf,Circular for Student Attendance
https://dte.rajasthan.gov.in/assets/docs/Std_crnr/Scholarship_fmt.pdf,Latest Scholarship Format
https://dte.rajasthan.gov.in/assets/docs/Std_crnr/Scholarship_PWD.pdf,Scholarship for PWD Candidates
https://dte.rajasthan.gov.in/assets/docs/Std_crnr/StudentSIPolicy.pdf,Students Insurance Policy
https://dte.rajasthan.gov.in/assets/docs/RTI/Handbook%20RTI.pdf,Information Handbook
https://dte.rajasthan.gov.in/assets/docs/NOC/NOC Notification.pdf,Reopen NOC Notification
https://dte.rajasthan.gov.in/assets/docs/NOC/NOC Portal.pdf,Reopen NOC Portal from 21-08-2024 to 27-08-2024
https://dte.rajasthan.gov.in/assets/docs/NOC/Amendment%20in%20DTE%20NOC%20policy%202023-24.pdf,Amendment in DTE NOC policy 2023-24
https://dte.rajasthan.gov.in/assets/docs/NOC/1366.pdf,Date Extended for NOC 2024-25
https://dte.rajasthan.gov.in/assets/docs/NOC/Updated%20Final%20NOC%20Policy.pdf,State Govt. NOC Policy 2023-24
https://dte.rajasthan.gov.in/assets/docs/NOC/1084.pdf,Date Extended for NOC 2024-25
https://dte.rajasthan.gov.in/assets/docs/NOC/Affidavit.pdf,Affidavit
https://dte.rajasthan.gov.in/assets/docs/NOC/Instructions.pdf,General Instructions
https://dte.rajasthan.gov.in/assets/docs/NOC/UserManualforNewInstitute.pdf,User Manual for New Institute
https://dte.rajasthan.gov.in/assets/docs/NOC/UserManualforExistingInstitute.pdf,User Manual for Existing Institute
https://dte.rajasthan.gov.in/assets/docs/Admission/FirstYearEngg/1st Yr. Engg.pdf,Second Phase for Direct Admission from 02-09-24 to 06-09-2024 (Admission 2024-25)
https://dte.rajasthan.gov.in/assets/docs/Admission/FirstYearEngg/TENTATIVE VACANT SEATS FOR DIRECT ADMISSION.pdf,Tentative Vacant Seats for Direct Admission (Admission 2024-25)
https://dte.rajasthan.gov.in/assets/docs/Admission/FirstYearEngg/Direct Admission Form 2024-25.pdf,Direct Admission Form (Admission 2024-25)
https://dte.rajasthan.gov.in/assets/docs/Admission/FirstYearEngg/Direct Admission.pdf,Direct Admission on Institution Level (Admission 2024-25)
https://dte.rajasthan.gov.in/assets/docs/Admission/FirstYearEngg/Date Extend.pdf,Date Extend for Reporting(Admission 2024-25)
https://dte.rajasthan.gov.in/assets/docs/Admission/FirstYearEngg/Confirm%20reported%20in%20First%20and%20Second%20allotment.pdf,Confirm reported in First and Second allotment(Admission 2024-25)
https://dte.rajasthan.gov.in/assets/docs/Admission/FirstYearEngg/Internal%20sliding_FORM.pdf,Internal SLiding Form(Admission 2024-25)
https://dte.rajasthan.gov.in/assets/docs/Admission/FirstYearEngg/Final%20Merit%20List-Polytechnic%20Diploma%20First%20Year%20(%20Engineering-Courses)%202024-25.pdf,Final Merit List-Polytechnic Diploma First Year(Admission 2024-25)
https://dte.rajasthan.gov.in/assets/docs/Admission/FirstYearEngg/Provisional%20Merit%20List-Polytechnic%20Diploma%20First%20Year%20(%20Engineering-Courses)%202024-25.pdf,Provisional Merit List-Polytechnic Diploma First Year(Admission 2024-25)
https://dte.rajasthan.gov.in/assets/docs/Admission/FirstYearEngg/List%20of%20Rejected%20Applications%202024-25.pdf,List of Rejected Applications(Admission 2024-25)
https://dte.rajasthan.gov.in/assets/docs/Admission/FirstYearEngg/calender%202024-25.pdf,Calender (Admission 2024-25)
https://dte.rajasthan.gov.in/assets/docs/Admission/FirstYearEngg/Annexures%202024-25.pdf,Annexure(Admission 2024-25)
https://dte.rajasthan.gov.in/assets/docs/Admission/FirstYearEngg/SEAT MATRIX 2024-25.pdf,Seat Matrix(Admission 2024-25)
https://dte.rajasthan.gov.in/assets/docs/Admission/FirstYearEngg/VIVERINIKA%201st%20YEAR%20Engg.%202024-25.pdf,Booklet(Admission 2024-25)
https://dte.rajasthan.gov.in/assets/docs/Admission/FirstYearEngg/Cordinater engg.pdf,Coordinator Order (Admission 2024-25)
https://dte.rajasthan.gov.in/assets/docs/Admission/User%20Manual%20for%20Admission%20Process%20(For%20Eng.).pdf,User Manual (Admission 2024-25)
https://dte.rajasthan.gov.in/assets/docs/Admission/Lateral/Lateral Date Extend.pdf,Date Extend Second Phase for Direct Admission from 06-09-24 to 12-09-2024 (Admission 2024-25)
https://dte.rajasthan.gov.in/assets/docs/Admission/Lateral/Lateral Entry.pdf,Second Phase for Direct Admission from 02-09-24 to 06-09-2024 (Admission 2024-25)
https://dte.rajasthan.gov.in/assets/docs/Admission/Lateral/Tentative Vacant Seat (Round-1) for Direct Admission.pdf,Tentative Vacant Seat (Round-1) for Direct Admission (Admission 2024-25)
https://dte.rajasthan.gov.in/assets/docs/Admission/Lateral/Direct Admission Form 2024-25.pdf,Direct Admission Form (Admission 2024-25)
https://dte.rajasthan.gov.in/assets/docs/Admission/Lateral/College Level Reporting for final Admission.pdf,College Level Reporting for final Admission (Admission 2024-25)
https://dte.rajasthan.gov.in/assets/docs/Admission/Lateral/2024-07-24--2nd%20allotment%20(for%20Portal).pdf,Second Allotment List(Admission 2024-25)
https://dte.rajasthan.gov.in/assets/docs/Admission/Lateral/Applied for Upward.pdf,Upward Movement List(Admission 2024-25)
https://dte.rajasthan.gov.in/assets/docs/Admission/Lateral/Diploma%20Lateral%20Admission%202024-25%20(First%20Allotment)%20(1).pdf,First Allotment List(Admission 2024-25)
