Link,Description
https://dte.rajasthan.gov.in/assets/docs/Emp_Crnr/Sr_list/Admin%20officer.pdf,Seniority List of Administrative Officer as on 01.04.2023
https://dte.rajasthan.gov.in/assets/docs/Emp_Crnr/Sr_list/Posting%20Order.pdf,Seniority List of Establishment Officer as on 01.04.2023
https://dte.rajasthan.gov.in/assets/docs/Emp_Crnr/Sr_list/Asst%20Admin%20Officer_merged.pdf,Seniority List of Assistant Administrative Officer as on 01.04.2022
https://dte.rajasthan.gov.in/assets/docs/Emp_Crnr/Sr_list/JA_001.pdf,Seniority List of Junior Assistant as on 01.04.2022
https://dte.rajasthan.gov.in/assets/docs/Emp_Crnr/Sr_list/Fourth%20Class%20New%20.pdf,Seniority List of Class IV (Non-TSP) as on 01.04.2022
https://dte.rajasthan.gov.in/assets/docs/Emp_Crnr/Sr_list/Sr.List%20of%20Class%20IV%20(TSP).PDF,Seniority List of Class IV (TSP) as on 01.04.2022
https://dte.rajasthan.gov.in/assets/docs/Emp_Crnr/Sr_list/Senior%20Assistant%20Final.pdf,Seniority List of Senior Assistant as on 01.04.2022
"https://dte.rajasthan.gov.in/assets/docs/Emp_Crnr/Sr_list/Principal, Joint Director.pdf",Seniority List of Principal/Joint Director as on 01.04.2022
https://dte.rajasthan.gov.in/assets/docs/Emp_Crnr/Sr_list/Stenographer%20.pdf,Seniority List of Stenographer as on 01.04.2022
https://dte.rajasthan.gov.in/assets/docs/Emp_Crnr/Sr_list/Lab%20Assistant.pdf,Seniority List of Lab Assistant as on 01.04.2022
https://dte.rajasthan.gov.in/assets/docs/Emp_Crnr/Sr_list/personal%20Assistant%20.pdf,Seniority List of Personal Assistant as on 01.04.2022
https://dte.rajasthan.gov.in/assets/docs/Emp_Crnr/Sr_list/Drivers.pdf,Seniority List of Drivers as on 01.04.2022
https://dte.rajasthan.gov.in/assets/docs/Emp_Crnr/Sr_list/Add.adm.officer.pdf,Seniority List of Additional Administrative Officer as on 01.04.2022
https://dte.rajasthan.gov.in/assets/docs/Emp_Crnr/Sr_list/Admin.officer.pdf,Seniority List of Administrative Officer as on 01.04.2022
https://dte.rajasthan.gov.in/assets/docs/Emp_Crnr/Sr_list/estab%20officer.pdf,Seniority List of A Establishment Officer as on 01.04.2022
https://dte.rajasthan.gov.in/assets/docs/Emp_Crnr/Sr_list/draftsman.pdf,Seniority List of Draftsman as on 01.04.2022
https://dte.rajasthan.gov.in/assets/docs/Emp_Crnr/Sr_list/Sr_List_JDT260721.pdf,Seniority List of Principal/ Joint Director as on 26.07.2021
https://dte.rajasthan.gov.in/assets/docs/Emp_Crnr/Sr_list/Sr_List_JDT050721.pdf,Seniority List of Principal/ Joint Director as on 05.07.2021
https://dte.rajasthan.gov.in/assets/docs/Emp_Crnr/Sr_list/Sr_List_JDT140520.pdf,Seniority List of Principal/ Joint Director as on 01.04.2020
https://dte.rajasthan.gov.in/assets/docs/Emp_Crnr/Sr_list/APO.pdf,Seniority List of Additional Administrative Officer as on 09.04.2021
https://dte.rajasthan.gov.in/assets/docs/Emp_Crnr/Sr_list/AAO.pdf,Seniority List of Assistant Administrative officer  as on 09.04.2021
https://dte.rajasthan.gov.in/assets/docs/Emp_Crnr/Sr_list/Sr.%20asst..pdf,Seniority List of Senior Assistant as on 09.04.2021
https://dte.rajasthan.gov.in/assets/docs/Emp_Crnr/Sr_list/Ju.%20asst..pdf,Seniority List of Junior Assistant as on 09.04.2021
https://dte.rajasthan.gov.in/assets/docs/Emp_Crnr/Sr_list/Draft%20Man.pdf,Seniority List of Draftsman as on 07.04.2021
https://dte.rajasthan.gov.in/assets/docs/Emp_Crnr/Sr_list/Personal%20Asst..pdf,Seniority List of Personal Assistant  as on 07.04.2021
https://dte.rajasthan.gov.in/assets/docs/Emp_Crnr/Sr_list/Stenographer.pdf,Seniority List of Stenographer as on 07.04.2021
https://dte.rajasthan.gov.in/assets/docs/Emp_Crnr/Sr_list/Lab.%20Asst..pdf,Seniority List of Lab Assistant   as on 07.04.2021
https://dte.rajasthan.gov.in/assets/docs/Emp_Crnr/Sr_list/Driver.pdf,Seniority List of Driver  as on 07.04.2021
https://dte.rajasthan.gov.in/assets/docs/Emp_Crnr/Posting_order/Math(Lec).pdf,Posting Order of Lect. (Maths)
https://dte.rajasthan.gov.in/assets/docs/Emp_Crnr/Posting_order/Posting%20Civil%20Lec.pdf,Posting Order of Lect. Civil Engg.
https://dte.rajasthan.gov.in/assets/docs/Emp_Crnr/Posting_order/appointment%20order%20of%20Lectt%20Mechanical%20against%20non%20joiners.pdf,Posting Order of Lect. Mechanical Engg. against non joiners
https://dte.rajasthan.gov.in/assets/docs/Emp_Crnr/Posting_order/appointment%20order%20of%20Lectt.%20Electrical%20engg.%20against%20non%20joiners.pdf,Posting Order of Lect. Electrical Engg. against non joiners
https://dte.rajasthan.gov.in/assets/docs/Emp_Crnr/Posting_order/Senior%20Asst.%20Posting%20Order.pdf,Posting Order of Senior Assistant
https://dte.rajasthan.gov.in/assets/docs/Emp_Crnr/Posting_order/appointment%20order%20of%20Lecturer%20Mathmatics.pdf,Posting Order of  Lecturer (Mathematics)
https://dte.rajasthan.gov.in/assets/docs/Emp_Crnr/Posting_order/AAO%20Amendment.pdf,Posting Order of  Assistant Administrative Officer (2021-22)
https://dte.rajasthan.gov.in/assets/docs/Emp_Crnr/Posting_order/AAO.pdf,Posting Order of  Assistant Administrative Officer (2021-22)
https://dte.rajasthan.gov.in/assets/docs/Emp_Crnr/Posting_order/appointment%20order%20Civil%20engg.-1-4.pdf,Posting Order of  Lecturer (Civil)
https://dte.rajasthan.gov.in/assets/docs/Emp_Crnr/Posting_order/Posting%20Order%20(Mech.%20Lec.).pdf,Posting Order of  Lecturer (Mechanical)
https://dte.rajasthan.gov.in/assets/docs/Emp_Crnr/Posting_order/appointment order Lecturer Chemistry.pdf,Posting Order of  Lecturer (Chemistry)
https://dte.rajasthan.gov.in/assets/docs/Emp_Crnr/Posting_order/appointment order Lecturer Electrical engg_.pdf,Posting Order of  Lecturer (Electrical)
https://dte.rajasthan.gov.in/assets/docs/Emp_Crnr/Posting_order/appointment order Lecturer Mechanical Engg_.pdf,Posting Order of  Lecturer (Mechanical)
https://dte.rajasthan.gov.in/assets/docs/Emp_Crnr/Appointment%20order%20of%20%20Prachi%20Saxena.pdf,Posting Order of  Lecturer (Civil)
https://dte.rajasthan.gov.in/assets/docs/Emp_Crnr/appointment%20order%20Lecturer%20phsysics.pdf,Posting Order of  Lecturer (Physics)
https://dte.rajasthan.gov.in/assets/docs/Emp_Crnr/appointment%20order%20of%20Lecturer%20English.pdf,Posting Order of Lecturer (English)
https://dte.rajasthan.gov.in/assets/docs/Emp_Crnr/Posting_order/Posting_EL_jan2020.pdf,Electrical Engg. Lecturer Posting Order
https://dte.rajasthan.gov.in/assets/docs/Emp_Crnr/Posting_order/Posting_112019.pdf,Lecturer Mech. Engg. Posting Order
https://dte.rajasthan.gov.in/assets/docs/Emp_Crnr/Posting_order/Cancle_order_sep2019.pdf,Cancelation of Posting Order Lecturer Mech. Engg.
https://dte.rajasthan.gov.in/assets/docs/Emp_Crnr/Posting_order/Jyoti_order.pdf,Posting Order of Ms. Jyoti Jeengar
https://dte.rajasthan.gov.in/assets/docs/Emp_Crnr/Retirement/Retirement%20Order%202024.pdf,Retirement Order
https://dte.rajasthan.gov.in/assets/docs/Emp_Crnr/Retirement/Retirement%202023.pdf,Retirement Order
https://dte.rajasthan.gov.in/assets/docs/Emp_Crnr/Promotion/provisional%20Sen.%20Asst.pdf,Provisional Promotion Order of Senior Assistant  2021-22
https://dte.rajasthan.gov.in/assets/docs/Emp_Crnr/Promotion/AAO.pdf,Promotion Order of Assistant Administrative 2021-22
https://dte.rajasthan.gov.in/assets/docs/Emp_Crnr/2024 Civil List.pdf,Civil List 2024
https://dte.rajasthan.gov.in/assets/docs/Emp_Crnr/Civil%20List%201-4-2021.pdf,Civil List 2021
https://dte.rajasthan.gov.in/assets/docs/Emp_Crnr/Civil_list2019.pdf,Civil List 2019
https://dte.rajasthan.gov.in/assets/docs/Emp_Crnr/vigypti.pdf,Vigyapti for the Deficiencies
https://dte.rajasthan.gov.in/assets/docs/Emp_Crnr/Lab%20Attendant.pdf,Deficiencies: Direct Recruitment for the Lab Attendant in GPC Bharatpur
https://dte.rajasthan.gov.in/assets/docs/Emp_Crnr/fourth%20class.pdf,Deficiencies: Direct Recruitment for the Forth Class in GPC Bharatpur
https://dte.rajasthan.gov.in/assets/docs/Emp_Crnr/Recruitment%20of%20IV%20Class%20&%20Lab%20Attandent%20for%20GPC%20Jaipur.pdf,Recruitment of Fourth Class & Lab Attandent for GPC Jaipur
https://dte.rajasthan.gov.in/assets/docs/Emp_Crnr/Recruitment%20of%20IV%20Class%20&%20Lab%20Attendent%20for%20GPC%20Bharatpur.pdf,Recruitment of Fourth Class & Lab Attendent for GPC Bharatpur
